pl_name,hostname,pl_refname,pl_pubdate,soltype,pl_controv_flag,default_flag,discoverymethod,disc_year,disc_telescope,disc_facility,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orblper,pl_orbincl,pl_imppar,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_masse,pl_msinie,pl_dens,pl_insol,pl_eqt,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tsystemref,pl_trandur,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_radv,st_spectype,sy_jmag,sy_hmag,sy_kmag,sy_vmag,sy_gaiamag
"pi Men c","HD 39091","<a refstr=KUNOVAC_HODZIC_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.2893K/abstract target=ref>Kunovac Hod&#x17E;i&#x107; et al. 2021</a>","2021-04","Published Confirmed",0,1,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26783990000,0.00001100000,-0.00001100000,,,,0.000000,0.0000,87.04500,0.646500,2.01890000,0.04650000,-0.04480000,,,,,,,,,2458425.78920400,0.00027900,-0.00028000,"BJD",2.9520240,,5998.00,1.170000,1.070000,0.0900,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26782930000,0.00000520000,-0.00000520000,,,,,,87.31000,,,,,,,,,,,,,2458820.66245000,0.00030000,-0.00030000,"BJD-TDB",,,5870.00,1.100000,1.020000,0.0500,10.70916,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>","2025-12","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26815000000,0.00045000000,-0.00044000000,0.0705000000,0.0017000000,-0.0018000000,0.084000,-6.0000,,,,,,4.20000000,0.54000000,-0.52000000,,4.20000000,,,,2455197.74000000,0.29000000,-0.30000000,"JD",,1.31000,5982.00,,,,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=HATZES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..223H/abstract target=ref>Hatzes et al. 2022</a>","2022-05","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26785200000,0.00001600000,-0.00001600000,,,,0.000000,90.0000,87.05000,,,,,3.63000000,0.38000000,-0.38000000,3.63000000,3.63000000,,,,,,,"BJD-TDB",,1.21000,5998.00,1.190000,1.070000,0.0900,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=HUANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...868L..39H/abstract target=ref>Huang et al. 2018</a>","2018-12","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26790000000,0.00046000000,-0.00046000000,0.0683900000,0.0005000000,-0.0005000000,0.000000,,87.45600,0.590000,2.04200000,0.05000000,-0.05000000,4.82000000,0.84000000,-0.86000000,4.82000000,,2.970000,309.0000,1169.80,2458325.50400000,0.00120000,-0.00074000,"BJD",2.9530000,1.58000,6037.00,1.100000,1.094000,0.0800,,"G0 V",4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=DAMASSO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..31D/abstract target=ref>Damasso et al. 2020</a>","2020-10","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26785200000,0.00001600000,-0.00001600000,0.0680000000,0.0008000000,-0.0008000000,0.000000,90.0000,87.05000,,2.11000000,0.05000000,-0.05000000,4.30000000,0.70000000,-0.70000000,4.30000000,,2.800000,,,2458519.80680000,0.00030000,-0.00030000,"BJD",,1.50000,5998.00,1.170000,1.070000,0.0900,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=GANDOLFI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619L..10G/abstract target=ref>Gandolfi et al. 2018</a>","2018-11","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26834000000,0.00024000000,-0.00024000000,0.0670200000,0.0010900000,-0.0010900000,0.000000,,87.31000,0.614000,2.06000000,0.03000000,-0.03000000,4.52000000,0.81000000,-0.81000000,4.52000000,,2.820000,,1147.00,2458325.50305500,0.00077000,-0.00077000,"BJD-TDB",2.9690000,1.55000,5870.00,1.100000,1.020000,0.0500,10.70916,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"pi Men c","HD 39091","<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>","2022-09","Published Confirmed",0,0,"Transit",2018,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",84.2992798,-80.4646041,6.26791000000,0.00043000000,-0.00043000000,0.0690000000,0.0030000000,-0.0030000000,0.077000,103.3100,,,,,,3.49611248,0.31782841,-0.31782841,,3.49611248,,,,,,,"BJD",,1.18500,,,1.100000,,,,4.8690000,4.4240000,4.2410000,5.6500000,5.5128000
"LHS 3844 b","LHS 3844","<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>","2022-05","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",340.4962038,-69.1721081,0.46292960000,0.00000010000,-0.00000010000,,,,,,,0.370000,,,,,,,,,,,,2459085.39295000,0.00010000,-0.00010000,"BJD",,,3036.00,0.189000,0.151000,,,"M5",10.0460000,9.4770000,9.1450010,15.2400000,13.3925000
"LHS 3844 b","LHS 3844","<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>","2023-03","Published Confirmed",0,0,"Transit",2019,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",340.4962038,-69.1721081,0.46292964000,0.00000033000,-0.00000033000,,,,,,88.50000,,,,,,,,,,,,,2458828.93037000,0.00025000,-0.00025000,"BJD-TDB",,,3036.00,0.189000,0.151000,,,"M5",10.0460000,9.4770000,9.1450010,15.2400000,13.3925000
